,Code,Direction,Price,Volume,VolumeMatched,State,AvgMatchingPrice,OrderTime,OrderNum,Mkt,Account,Config
1,000001.SZSE,1,0,100,100,AllMatched,11.3366655,2016-01-04 00:00:00,1,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
2,000001.SZSE,1,0,100,100,AllMatched,11.4067005,2016-01-05 00:00:00,2,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
3,000001.SZSE,1,0,100,100,AllMatched,11.5367655,2016-01-06 00:00:00,3,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
4,000001.SZSE,1,0,100,100,AllMatched,10.9464705,2016-01-07 00:00:00,4,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
5,000001.SZSE,1,0,100,100,AllMatched,11.1265605,2016-01-08 00:00:00,5,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
6,000001.SZSE,1,0,100,100,AllMatched,10.7663805,2016-01-11 00:00:00,6,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
7,000001.SZSE,1,0,100,100,AllMatched,10.8164055,2016-01-12 00:00:00,7,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
8,000001.SZSE,1,0,100,100,AllMatched,10.7163555,2016-01-13 00:00:00,8,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
9,000001.SZSE,1,0,100,100,AllMatched,10.7763855,2016-01-14 00:00:00,9,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
10,000001.SZSE,1,0,100,100,AllMatched,10.4662305,2016-01-15 00:00:00,10,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
11,000001.SZSE,1,0,100,100,AllMatched,10.4162055,2016-01-18 00:00:00,11,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
12,000001.SZSE,1,0,100,100,AllMatched,10.7163555,2016-01-19 00:00:00,12,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
13,000001.SZSE,1,0,100,100,AllMatched,10.5462705,2016-01-20 00:00:00,13,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
14,000001.SZSE,1,0,100,100,AllMatched,10.3261605,2016-01-21 00:00:00,14,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
15,000001.SZSE,1,0,100,100,AllMatched,10.4062005,2016-01-22 00:00:00,15,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
16,000001.SZSE,1,0,100,100,AllMatched,10.3761855,2016-01-25 00:00:00,16,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
17,000001.SZSE,1,0,100,100,AllMatched,9.8759355,2016-01-26 00:00:00,17,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
18,000001.SZSE,1,0,100,100,AllMatched,9.8859405,2016-01-27 00:00:00,18,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
19,000001.SZSE,1,0,100,100,AllMatched,9.6958455,2016-01-28 00:00:00,19,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
20,000001.SZSE,1,0,100,100,AllMatched,10.0060005,2016-01-29 00:00:00,20,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
21,000001.SZSE,1,0,100,100,AllMatched,9.8059005,2016-02-01 00:00:00,21,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
22,000001.SZSE,1,0,100,100,AllMatched,9.9559755,2016-02-02 00:00:00,22,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
23,000001.SZSE,1,0,100,100,AllMatched,9.8559255,2016-02-03 00:00:00,23,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
24,000001.SZSE,1,0,100,100,AllMatched,9.9559755,2016-02-04 00:00:00,24,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
25,000001.SZSE,1,0,100,100,AllMatched,9.9259605,2016-02-05 00:00:00,25,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
26,000001.SZSE,1,0,100,100,AllMatched,9.7958955,2016-02-15 00:00:00,26,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
27,000001.SZSE,1,0,100,100,AllMatched,10.0160055,2016-02-16 00:00:00,27,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
28,000001.SZSE,1,0,100,100,AllMatched,10.1560755,2016-02-17 00:00:00,28,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
29,000001.SZSE,1,0,100,100,AllMatched,10.0960455,2016-02-18 00:00:00,29,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
30,000001.SZSE,1,0,100,100,AllMatched,10.0460205,2016-02-19 00:00:00,30,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
31,000001.SZSE,1,0,100,100,AllMatched,10.2961455,2016-02-22 00:00:00,31,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
32,000001.SZSE,1,0,100,100,AllMatched,10.1260605,2016-02-23 00:00:00,32,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
33,000001.SZSE,1,0,100,100,AllMatched,10.1560755,2016-02-24 00:00:00,33,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
34,000001.SZSE,1,0,100,100,AllMatched,9.6758355,2016-02-25 00:00:00,34,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
35,000001.SZSE,1,0,100,100,AllMatched,9.7958955,2016-02-26 00:00:00,35,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
36,000001.SZSE,1,0,100,100,AllMatched,9.5657805,2016-02-29 00:00:00,36,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
37,000001.SZSE,1,0,100,100,AllMatched,9.7058505,2016-03-01 00:00:00,37,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
38,000001.SZSE,1,0,100,100,AllMatched,10.1060505,2016-03-02 00:00:00,38,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
39,000001.SZSE,1,0,100,100,AllMatched,10.1160555,2016-03-03 00:00:00,39,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
40,000001.SZSE,1,0,100,100,AllMatched,10.4062005,2016-03-04 00:00:00,40,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
41,000001.SZSE,1,0,100,100,AllMatched,10.3461705,2016-03-07 00:00:00,41,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
42,000001.SZSE,1,0,100,100,AllMatched,10.2861405,2016-03-08 00:00:00,42,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
43,000001.SZSE,1,0,100,100,AllMatched,10.1760855,2016-03-09 00:00:00,43,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
44,000001.SZSE,1,0,100,100,AllMatched,10.1560755,2016-03-10 00:00:00,44,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
45,000001.SZSE,1,0,100,100,AllMatched,10.1660805,2016-03-11 00:00:00,45,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
46,000001.SZSE,1,0,100,100,AllMatched,10.2661305,2016-03-14 00:00:00,46,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
47,000001.SZSE,1,0,100,100,AllMatched,10.3261605,2016-03-15 00:00:00,47,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
48,000001.SZSE,1,0,100,100,AllMatched,10.3561755,2016-03-16 00:00:00,48,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
49,000001.SZSE,1,0,100,100,AllMatched,10.4262105,2016-03-17 00:00:00,49,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
50,000001.SZSE,1,0,100,100,AllMatched,10.5462705,2016-03-18 00:00:00,50,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
51,000001.SZSE,1,0,100,100,AllMatched,10.8064005,2016-03-21 00:00:00,51,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
52,000001.SZSE,1,0,100,100,AllMatched,10.7263605,2016-03-22 00:00:00,52,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
53,000001.SZSE,1,0,100,100,AllMatched,10.7063505,2016-03-23 00:00:00,53,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
54,000001.SZSE,1,0,100,100,AllMatched,10.5262605,2016-03-24 00:00:00,54,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
55,000001.SZSE,1,0,100,100,AllMatched,10.5962955,2016-03-25 00:00:00,55,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
56,000001.SZSE,1,0,100,100,AllMatched,10.4862405,2016-03-28 00:00:00,56,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
57,000001.SZSE,1,0,100,100,AllMatched,10.4362155,2016-03-29 00:00:00,57,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
58,000001.SZSE,1,0,100,100,AllMatched,10.7063505,2016-03-30 00:00:00,58,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
59,000001.SZSE,1,0,100,100,AllMatched,10.6463205,2016-03-31 00:00:00,59,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
60,000001.SZSE,1,0,100,100,AllMatched,10.6663305,2016-04-01 00:00:00,60,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
61,000001.SZSE,1,0,100,100,AllMatched,10.7063505,2016-04-05 00:00:00,61,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
62,000001.SZSE,1,0,100,100,AllMatched,10.7263605,2016-04-06 00:00:00,62,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
63,000001.SZSE,1,0,100,100,AllMatched,10.5962955,2016-04-07 00:00:00,63,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
64,000001.SZSE,1,0,100,100,AllMatched,10.5762855,2016-04-08 00:00:00,64,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
65,000001.SZSE,1,0,100,100,AllMatched,10.7263605,2016-04-11 00:00:00,65,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
66,000001.SZSE,1,0,100,100,AllMatched,10.6763355,2016-04-12 00:00:00,66,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
67,000001.SZSE,1,0,100,100,AllMatched,10.8164055,2016-04-13 00:00:00,67,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
68,000001.SZSE,1,0,100,100,AllMatched,10.8464205,2016-04-14 00:00:00,68,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
69,000001.SZSE,1,0,100,100,AllMatched,10.8864405,2016-04-15 00:00:00,69,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
70,000001.SZSE,1,0,100,100,AllMatched,10.7363655,2016-04-18 00:00:00,70,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
71,000001.SZSE,1,0,100,100,AllMatched,10.7763855,2016-04-19 00:00:00,71,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
72,000001.SZSE,1,0,100,100,AllMatched,10.5262605,2016-04-20 00:00:00,72,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
73,000001.SZSE,1,0,100,100,AllMatched,10.5162555,2016-04-21 00:00:00,73,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
74,000001.SZSE,1,0,100,100,AllMatched,10.5562755,2016-04-22 00:00:00,74,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
75,000001.SZSE,1,0,100,100,AllMatched,10.5062505,2016-04-25 00:00:00,75,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
76,000001.SZSE,1,0,100,100,AllMatched,10.5962955,2016-04-26 00:00:00,76,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
77,000001.SZSE,1,0,100,100,AllMatched,10.5762855,2016-04-27 00:00:00,77,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
78,000001.SZSE,1,0,100,100,AllMatched,10.6663305,2016-04-28 00:00:00,78,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
79,000001.SZSE,1,0,100,100,AllMatched,10.5762855,2016-04-29 00:00:00,79,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
80,000001.SZSE,1,0,100,100,AllMatched,10.6863405,2016-05-03 00:00:00,80,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
81,000001.SZSE,1,0,100,100,AllMatched,10.7263605,2016-05-04 00:00:00,81,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
82,000001.SZSE,1,0,100,100,AllMatched,10.7263605,2016-05-05 00:00:00,82,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
83,000001.SZSE,1,0,100,100,AllMatched,10.5262605,2016-05-06 00:00:00,83,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
84,000001.SZSE,1,0,100,100,AllMatched,10.3561755,2016-05-09 00:00:00,84,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
85,000001.SZSE,1,0,100,100,AllMatched,10.2861405,2016-05-10 00:00:00,85,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
86,000001.SZSE,1,0,100,100,AllMatched,10.3761855,2016-05-11 00:00:00,86,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
87,000001.SZSE,1,0,100,100,AllMatched,10.3861905,2016-05-12 00:00:00,87,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
88,000001.SZSE,1,0,100,100,AllMatched,10.3561755,2016-05-13 00:00:00,88,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
89,000001.SZSE,1,0,100,100,AllMatched,10.3661805,2016-05-16 00:00:00,89,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
90,000001.SZSE,1,0,100,100,AllMatched,10.3061505,2016-05-17 00:00:00,90,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
91,000001.SZSE,1,0,100,100,AllMatched,10.3061505,2016-05-18 00:00:00,91,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
92,000001.SZSE,1,0,100,100,AllMatched,10.2561255,2016-05-19 00:00:00,92,Mkt,<CounterMod.Account object at 0x0000000007075710>,{'CashFrozen': 0}
